YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2013,1,1,1,30.8,24.3,81,3,360
2013,1,2,53.4,27,24.4,95,1,360
2013,1,3,4.2,30.6,24.8,94,1,360
2013,1,4,0.4,27,24.6,92,1,360
2013,1,5,0.2,32,24,83,1,360
2013,1,6,20,28.2,22.3,91,2,360
2013,1,7,13.8,27.1,23,89,2,360
2013,1,8,0.3,28.7,23.6,88,1,360
2013,1,9,3.4,30,23.8,88,2,360
2013,1,10,0,27.2,23.9,90,2,360
2013,1,11,0,30.8,25,83,2,180
2013,1,12,0.4,30.7,24.7,84,1,200
2013,1,13,0,32.7,24.7,82,1,180
2013,1,14,110.2,32.6,24.7,86,2,220
2013,1,15,1.6,32.9,23.8,82,2,70
2013,1,16,0.4,32.4,24.1,82,2,360
2013,1,17,0,32.4,24.4,79,2,180
2013,1,18,0.2,32.6,24.7,77,3,360
2013,1,19,47.8,28.2,23.2,93,3,360
2013,1,20,17.4,26.1,23.4,86,2,40
2013,1,21,20.9,26.7,23.6,92,2,360
2013,1,22,23.2,25.4,21.2,93,3,360
2013,1,23,0,31,23.7,81,2,360
2013,1,24,12.8,31.4,24.3,84,2,360
2013,1,25,11.1,33,24.2,83,1,40
2013,1,26,33.4,31,23.6,89,2,360
2013,1,27,34.8,32.1,24.5,83,2,40
2013,1,28,0,30.2,23.6,88,2,360
2013,1,29,0,31.6,24.3,83,2,360
2013,1,30,19.6,29,24.4,88,1,20
2013,1,31,0,32.8,23.2,78,2,360
2013,2,1,0,32.6,24.4,79,2,90
2013,2,2,0,30.2,24.6,80,3,360
2013,2,3,0,32.3,23.5,70,3,360
2013,2,4,0,31.5,24.9,80,3,360
2013,2,5,0,32.4,23.9,76,2,180
2013,2,6,0,31.6,23.2,80,1,360
2013,2,7,0,33,24.6,75,2,360
2013,2,8,0,30.6,24.6,79,2,360
2013,2,9,54,32.1,23.6,83,2,40
2013,2,10,0,31.1,22.9,77,2,360
2013,2,11,0,31.9,23.9,78,2,360
2013,2,12,0,32,23.6,78,2,360
2013,2,13,0,32.1,24.2,77,2,360
2013,2,14,0,32.8,23.8,73,2,360
2013,2,15,0,31.5,24.9,80,3,20
2013,2,16,1.6,30,24.2,79,4,360
2013,2,17,5.2,30,23.7,82,3,360
2013,2,18,64.1,28.6,23.7,91,3,360
2013,2,19,7.2,28.8,25.1,91,1,360
2013,2,20,20.8,31.3,24,88,1,360
2013,2,21,20.2,32,25.3,86,1,90
2013,2,22,37.5,28,24.2,94,1,360
2013,2,23,1.4,31.7,24.6,83,3,360
2013,2,24,0,32.6,23.5,79,2,360
2013,2,25,0,32.3,24.4,75,2,360
2013,2,26,0,32.1,24.6,79,2,360
2013,2,27,0,32.3,24.2,77,3,360
2013,2,28,0,33.5,24.2,71,3,360
2013,3,1,0,32.6,25,71,3,360
2013,3,2,0,33.7,25.2,71,4,360
2013,3,3,0,33.1,24.6,78,4,360
2013,3,4,8.6,29.5,23.9,82,2,360
2013,3,5,0,32.2,24.3,76,4,360
2013,3,6,0,29.8,24.9,79,3,360
2013,3,7,1.6,33,24.6,79,2,360
2013,3,8,4.5,31.7,25.2,82,2,360
2013,3,9,0,32.4,24.8,82,2,40
2013,3,10,13,32.6,24,85,2,40
2013,3,11,2.4,33.4,23.8,79,2,360
2013,3,12,1,32.6,24.7,79,2,70
2013,3,13,0,33,24.3,75,2,360
2013,3,14,0,33.7,24,69,2,360
2013,3,15,0,33.1,23.9,68,3,360
2013,3,16,4.2,32,23.9,78,3,360
2013,3,17,0.1,30.8,23.4,82,3,360
2013,3,18,4.1,33,24.8,76,2,180
2013,3,19,0,33.4,23.4,78,2,360
2013,3,20,0.8,33.6,24.5,71,2,360
2013,3,21,0,32,24.4,81,2,360
2013,3,22,0,31.9,24.9,80,1,180
2013,3,23,0.1,33,24.9,76,2,360
2013,3,24,18.2,33.7,24.6,76,2,360
2013,3,25,0.3,33.4,24.2,78,2,360
2013,3,26,0,33.5,26.2,75,2,40
2013,3,27,1.1,34.3,24.6,79,2,360
2013,3,28,0,33.9,24.6,70,2,360
2013,3,29,0,33.3,25.8,72,3,360
2013,3,30,0,33.6,26.6,73,2,360
2013,3,31,0,34,25.8,74,2,360
2013,4,1,4.7,32.3,23.8,88,2,360
2013,4,2,0,32.8,25,78,2,40
2013,4,3,0.4,33.8,25.8,75,2,90
2013,4,4,1,31.8,26,80,2,180
2013,4,5,0,32.9,25.6,79,2,180
2013,4,6,0,34.2,26.9,75,2,180
2013,4,7,1,35.6,26.3,75,2,40
2013,4,8,8.7,32.7,24.9,80,2,360
2013,4,9,2,27,23.6,90,2,360
2013,4,10,83.6,31.8,24.6,82,2,360
2013,4,11,0,33.7,24.3,71,2,360
2013,4,12,8,32,24.2,84,3,360
2013,4,13,0,33.2,25,79,2,40
2013,4,14,0.6,33.6,24.4,78,2,360
2013,4,15,0,33.8,25.7,77,2,180
2013,4,16,0,33.6,25.3,77,2,70
2013,4,17,0.4,32.3,24.8,80,2,70
2013,4,18,0.4,33.1,25.1,79,2,360
2013,4,19,0,29.2,25.1,86,2,360
2013,4,20,0.6,33.6,24.2,79,2,180
2013,4,21,1.6,31.8,24.6,83,2,360
2013,4,22,0,34.4,24.6,74,2,360
2013,4,23,0,33.7,23.8,70,2,40
2013,4,24,3.6,34,24.9,76,2,360
2013,4,25,0,30.9,24.2,81,2,360
2013,4,26,5.2,33.7,24.1,79,2,90
2013,4,27,2.3,32,24.2,86,1,360
2013,4,28,0,33.4,24.6,74,2,360
2013,4,29,0,33.8,25.6,74,2,180
2013,4,30,0,34.4,25.3,73,2,70
2013,5,1,0.2,34.5,26.4,76,2,70
2013,5,2,0,32.8,25.6,79,2,220
2013,5,3,0,33.1,25.2,79,2,180
2013,5,4,0,34.5,25.8,66,2,360
2013,5,5,0,33,25.6,78,2,360
2013,5,6,0,32.9,26.1,79,1,360
2013,5,7,9,32.8,25.8,88,1,40
2013,5,8,0,31.7,24.3,84,1,180
2013,5,9,0,31,26,83,1,180
2013,5,10,12.5,31.8,24.2,87,2,180
2013,5,11,0,32.7,25.2,80,2,180
2013,5,12,15.8,33.3,25.4,88,1,180
2013,5,13,5.2,33.6,24.5,83,1,180
2013,5,14,0,32.2,24.6,85,1,180
2013,5,15,0,32.1,26,82,2,180
2013,5,16,3.6,33,25.3,83,2,180
2013,5,17,7.2,33.2,25.7,83,2,180
2013,5,18,0.1,32.7,24.9,83,1,180
2013,5,19,0,32.9,24.9,78,2,180
2013,5,20,0,32.8,25.2,78,1,180
2013,5,21,0,33.6,25.6,78,1,180
2013,5,22,1.5,32.7,24.9,85,1,360
2013,5,23,60.8,33.1,25.4,79,2,70
2013,5,24,0,33.5,24.9,79,2,180
2013,5,25,0,32.8,25.6,80,1,180
2013,5,26,0,33,24.9,79,3,180
2013,5,27,10.4,33.8,25.6,74,2,180
2013,5,28,2,31,24.4,86,1,70
2013,5,29,0.6,32.7,24.3,80,1,360
2013,5,30,0,33.8,25.8,78,2,70
2013,5,31,0,33.4,24.9,77,1,180
2013,6,1,0,33.1,26.6,78,1,180
2013,6,2,22.6,32,23.1,84,2,180
2013,6,3,0.5,33.2,24.7,80,2,360
2013,6,4,0,33,24.6,79,1,360
2013,6,5,30.3,32.8,24.6,84,2,360
2013,6,6,0,29.6,24.8,91,1,360
2013,6,7,9.6,32.5,25.3,83,1,180
2013,6,8,0,32.3,24.2,79,1,180
2013,6,9,0,32.3,25.6,81,1,180
2013,6,10,0,33.7,25.6,84,2,180
2013,6,11,2.2,33.3,24.8,82,2,360
2013,6,12,2.2,34.1,24.6,81,1,20
2013,6,13,15.6,33,24.2,83,2,90
2013,6,14,0.2,30.7,25.1,82,2,360
2013,6,15,16.5,31,23.7,90,1,180
2013,6,16,0,31.3,24.6,85,1,90
2013,6,17,0,34.2,25.5,78,1,180
2013,6,18,0,32.9,25,82,1,180
2013,6,19,4,31.2,24.6,86,2,180
2013,6,20,0,30.8,25.4,88,1,180
2013,6,21,12.4,32,25.6,82,1,180
2013,6,22,0,33.4,25.6,80,1,360
2013,6,23,4.2,33.2,23.8,84,1,360
2013,6,24,44.3,33.3,24.5,80,2,70
2013,6,25,0,29.9,24.7,85,2,360
2013,6,26,0,31.2,25.2,84,1,360
2013,6,27,17.6,32.1,24.1,86,1,60
2013,6,28,3,29.8,22.6,90,1,360
2013,6,29,0.4,30.6,24.2,83,1,180
2013,6,30,0.8,33,23.6,80,2,360
2013,7,1,0,33.2,24.8,80,1,70
2013,7,2,17.4,33,23.6,90,2,360
2013,7,3,0,31.8,23.9,86,1,180
2013,7,4,0,32,23.4,82,1,180
2013,7,5,0,31.9,24.4,80,2,360
2013,7,6,11.7,32.2,24.2,86,2,360
2013,7,7,18,32.9,24.6,84,2,360
2013,7,8,0,31,23.7,84,1,180
2013,7,9,0,32.8,23.7,79,2,180
2013,7,10,0,33,24.4,80,2,180
2013,7,11,25.2,33,23.8,82,2,180
2013,7,12,0,31.9,24.8,85,1,180
2013,7,13,0,31.9,24.8,85,1,360
2013,7,14,0.6,31,25,86,1,40
2013,7,15,0,31.6,24.4,85,2,180
2013,7,16,0,33.1,23.6,82,2,360
2013,7,17,0,32.8,24.6,80,2,360
2013,7,18,0,32.8,23.8,81,2,180
2013,7,19,2,32.2,24.4,86,1,360
2013,7,20,0,31,24.3,82,1,40
2013,7,21,4.6,31.3,24.5,81,1,90
2013,7,22,15.6,29.7,24,89,1,180
2013,7,23,0,32.1,24.9,79,1,180
2013,7,24,2,34,23.2,76,1,180
2013,7,25,0.4,33.1,25,76,2,180
2013,7,26,29.3,29,23.8,90,1,360
2013,7,27,2.3,31,23.4,88,1,360
2013,7,28,0,33,24.6,80,1,180
2013,7,29,0,30.1,24.3,80,1,70
2013,7,30,0,32.5,24.2,80,1,180
2013,7,31,0,32.5,25.4,79,1,180
2013,8,1,0,29.8,24.8,85,0,0
2013,8,2,2.2,34,24.4,78,2,360
2013,8,3,9,29.1,23.7,90,1,360
2013,8,4,7.5,31,24.9,83,1,180
2013,8,5,0.3,30.6,24.7,84,1,180
2013,8,6,3.2,32.3,23,85,1,180
2013,8,7,4.3,27.8,22.9,90,1,360
2013,8,8,0,30.3,23.4,82,1,360
2013,8,9,0,33.1,24.6,78,2,180
2013,8,10,0,32.1,25.8,78,2,180
2013,8,11,3.2,32.4,25.6,80,2,180
2013,8,12,84.2,30.5,23.9,86,1,200
2013,8,13,0.4,30.1,23.6,82,1,360
2013,8,14,7.4,32.6,24,84,1,360
2013,8,15,0.6,33,25.6,83,1,180
2013,8,16,1.2,32.2,23.6,82,1,180
