YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Date
2013,1,1,1.0,30.8,24.3,81,3,360,2013-01-01
2013,1,2,53.4,27.0,24.4,95,1,360,2013-01-02
2013,1,3,4.2,30.6,24.8,94,1,360,2013-01-03
2013,1,4,0.4,27.0,24.6,92,1,360,2013-01-04
2013,1,5,0.2,32.0,24.0,83,1,360,2013-01-05
2013,1,6,20.0,28.2,22.3,91,2,360,2013-01-06
2013,1,7,13.8,27.1,23.0,89,2,360,2013-01-07
2013,1,8,0.3,28.7,23.6,88,1,360,2013-01-08
2013,1,9,3.4,30.0,23.8,88,2,360,2013-01-09
2013,1,10,0.0,27.2,23.9,90,2,360,2013-01-10
2013,1,11,0.0,30.8,25.0,83,2,180,2013-01-11
2013,1,12,0.4,30.7,24.7,84,1,200,2013-01-12
2013,1,13,0.0,32.7,24.7,82,1,180,2013-01-13
2013,1,14,110.2,32.6,24.7,86,2,220,2013-01-14
2013,1,15,1.6,32.9,23.8,82,2,70,2013-01-15
2013,1,16,0.4,32.4,24.1,82,2,360,2013-01-16
2013,1,17,0.0,32.4,24.4,79,2,180,2013-01-17
2013,1,18,0.2,32.6,24.7,77,3,360,2013-01-18
2013,1,19,47.8,28.2,23.2,93,3,360,2013-01-19
2013,1,20,17.4,26.1,23.4,86,2,40,2013-01-20
2013,1,21,20.9,26.7,23.6,92,2,360,2013-01-21
2013,1,22,23.2,25.4,21.2,93,3,360,2013-01-22
2013,1,23,0.0,31.0,23.7,81,2,360,2013-01-23
2013,1,24,12.8,31.4,24.3,84,2,360,2013-01-24
2013,1,25,11.1,33.0,24.2,83,1,40,2013-01-25
2013,1,26,33.4,31.0,23.6,89,2,360,2013-01-26
2013,1,27,34.8,32.1,24.5,83,2,40,2013-01-27
2013,1,28,0.0,30.2,23.6,88,2,360,2013-01-28
2013,1,29,0.0,31.6,24.3,83,2,360,2013-01-29
2013,1,30,19.6,29.0,24.4,88,1,20,2013-01-30
2013,1,31,0.0,32.8,23.2,78,2,360,2013-01-31
2013,2,1,0.0,32.6,24.4,79,2,90,2013-02-01
2013,2,2,0.0,30.2,24.6,80,3,360,2013-02-02
2013,2,3,0.0,32.3,23.5,70,3,360,2013-02-03
2013,2,4,0.0,31.5,24.9,80,3,360,2013-02-04
2013,2,5,0.0,32.4,23.9,76,2,180,2013-02-05
2013,2,6,0.0,31.6,23.2,80,1,360,2013-02-06
2013,2,7,0.0,33.0,24.6,75,2,360,2013-02-07
2013,2,8,0.0,30.6,24.6,79,2,360,2013-02-08
2013,2,9,54.0,32.1,23.6,83,2,40,2013-02-09
2013,2,10,0.0,31.1,22.9,77,2,360,2013-02-10
2013,2,11,0.0,31.9,23.9,78,2,360,2013-02-11
2013,2,12,0.0,32.0,23.6,78,2,360,2013-02-12
2013,2,13,0.0,32.1,24.2,77,2,360,2013-02-13
2013,2,14,0.0,32.8,23.8,73,2,360,2013-02-14
2013,2,15,0.0,31.5,24.9,80,3,20,2013-02-15
2013,2,16,1.6,30.0,24.2,79,4,360,2013-02-16
2013,2,17,5.2,30.0,23.7,82,3,360,2013-02-17
2013,2,18,64.1,28.6,23.7,91,3,360,2013-02-18
2013,2,19,7.2,28.8,25.1,91,1,360,2013-02-19
2013,2,20,20.8,31.3,24.0,88,1,360,2013-02-20
2013,2,21,20.2,32.0,25.3,86,1,90,2013-02-21
2013,2,22,37.5,28.0,24.2,94,1,360,2013-02-22
2013,2,23,1.4,31.7,24.6,83,3,360,2013-02-23
2013,2,24,0.0,32.6,23.5,79,2,360,2013-02-24
2013,2,25,0.0,32.3,24.4,75,2,360,2013-02-25
2013,2,26,0.0,32.1,24.6,79,2,360,2013-02-26
