Date,Population
2013-01-01,1557435.0
2013-01-02,1557533.0630136987
2013-01-03,1557631.1260273973
2013-01-04,1557729.1890410958
2013-01-05,1557827.2520547945
2013-01-06,1557925.3150684931
2013-01-07,1558023.3780821918
2013-01-08,1558121.4410958905
2013-01-09,1558219.5041095892
2013-01-10,1558317.5671232876
2013-01-11,1558415.6301369863
2013-01-12,1558513.693150685
2013-01-13,1558611.7561643836
2013-01-14,1558709.8191780823
2013-01-15,1558807.8821917807
2013-01-16,1558905.9452054794
2013-01-17,1559004.008219178
2013-01-18,1559102.0712328767
2013-01-19,1559200.1342465754
2013-01-20,1559298.197260274
2013-01-21,1559396.2602739725
2013-01-22,1559494.3232876712
2013-01-23,1559592.3863013699
2013-01-24,1559690.4493150685
2013-01-25,1559788.5123287672
2013-01-26,1559886.5753424657
2013-01-27,1559984.6383561643
2013-01-28,1560082.701369863
2013-01-29,1560180.7643835617
2013-01-30,1560278.8273972603
2013-01-31,1560376.8904109588
2013-02-01,1560474.9534246575
2013-02-02,1560573.0164383561
2013-02-03,1560671.0794520548
2013-02-04,1560769.1424657535
2013-02-05,1560867.2054794522
2013-02-06,1560965.2684931506
2013-02-07,1561063.3315068493
2013-02-08,1561161.394520548
2013-02-09,1561259.4575342466
2013-02-10,1561357.5205479453
2013-02-11,1561455.5835616437
2013-02-12,1561553.6465753424
2013-02-13,1561651.709589041
2013-02-14,1561749.7726027397
2013-02-15,1561847.8356164384
2013-02-16,1561945.898630137
2013-02-17,1562043.9616438355
2013-02-18,1562142.0246575342
2013-02-19,1562240.0876712329
2013-02-20,1562338.1506849315
2013-02-21,1562436.2136986302
2013-02-22,1562534.2767123287
2013-02-23,1562632.3397260273
2013-02-24,1562730.402739726
2013-02-25,1562828.4657534247
2013-02-26,1562926.5287671234
2013-02-27,1563024.591780822
2013-02-28,1563122.6547945205
2013-03-01,1563220.7178082191
2013-03-02,1563318.7808219178
2013-03-03,1563416.8438356165
2013-03-04,1563514.9068493152
2013-03-05,1563612.9698630136
2013-03-06,1563711.0328767123
2013-03-07,1563809.095890411
2013-03-08,1563907.1589041096
2013-03-09,1564005.2219178083
2013-03-10,1564103.284931507
2013-03-11,1564201.3479452054
2013-03-12,1564299.410958904
2013-03-13,1564397.4739726027
2013-03-14,1564495.5369863014
2013-03-15,1564593.6
2013-03-16,1564691.6630136985
2013-03-17,1564789.7260273972
2013-03-18,1564887.7890410959
2013-03-19,1564985.8520547946
2013-03-20,1565083.9150684932
2013-03-21,1565181.9780821917
2013-03-22,1565280.0410958903
2013-03-23,1565378.104109589
2013-03-24,1565476.1671232877
2013-03-25,1565574.2301369864
2013-03-26,1565672.293150685
2013-03-27,1565770.3561643835
2013-03-28,1565868.4191780821
2013-03-29,1565966.4821917808
2013-03-30,1566064.5452054795
2013-03-31,1566162.6082191782
2013-04-01,1566260.6712328766
2013-04-02,1566358.7342465753
2013-04-03,1566456.797260274
2013-04-04,1566554.8602739726
2013-04-05,1566652.9232876713
2013-04-06,1566750.98630137
2013-04-07,1566849.0493150684
2013-04-08,1566947.112328767
2013-04-09,1567045.1753424658
2013-04-10,1567143.2383561644
2013-04-11,1567241.301369863
2013-04-12,1567339.3643835615
2013-04-13,1567437.4273972602
2013-04-14,1567535.4904109589
2013-04-15,1567633.5534246576
2013-04-16,1567731.6164383562
2013-04-17,1567829.679452055
2013-04-18,1567927.7424657533
2013-04-19,1568025.805479452
2013-04-20,1568123.8684931507
2013-04-21,1568221.9315068494
2013-04-22,1568319.994520548
2013-04-23,1568418.0575342465
2013-04-24,1568516.1205479451
2013-04-25,1568614.1835616438
2013-04-26,1568712.2465753425
2013-04-27,1568810.3095890412
2013-04-28,1568908.3726027398
2013-04-29,1569006.4356164383
2013-04-30,1569104.498630137
2013-05-01,1569202.5616438356
2013-05-02,1569300.6246575343
2013-05-03,1569398.687671233
2013-05-04,1569496.7506849314
2013-05-05,1569594.81369863
2013-05-06,1569692.8767123288
2013-05-07,1569790.9397260274
2013-05-08,1569889.002739726
2013-05-09,1569987.0657534248
2013-05-10,1570085.1287671232
2013-05-11,1570183.191780822
2013-05-12,1570281.2547945206
2013-05-13,1570379.3178082192
2013-05-14,1570477.380821918
2013-05-15,1570575.4438356163
2013-05-16,1570673.506849315
2013-05-17,1570771.5698630137
2013-05-18,1570869.6328767124
2013-05-19,1570967.695890411
2013-05-20,1571065.7589041095
2013-05-21,1571163.8219178081
2013-05-22,1571261.8849315068
2013-05-23,1571359.9479452055
2013-05-24,1571458.0109589042
2013-05-25,1571556.0739726028
2013-05-26,1571654.1369863013
2013-05-27,1571752.2
2013-05-28,1571850.2630136986
2013-05-29,1571948.3260273973
2013-05-30,1572046.389041096
2013-05-31,1572144.4520547944
2013-06-01,1572242.515068493
2013-06-02,1572340.5780821918
2013-06-03,1572438.6410958904
2013-06-04,1572536.704109589
2013-06-05,1572634.7671232878
2013-06-06,1572732.8301369862
2013-06-07,1572830.893150685
2013-06-08,1572928.9561643836
2013-06-09,1573027.0191780822
2013-06-10,1573125.082191781
2013-06-11,1573223.1452054793
2013-06-12,1573321.208219178
2013-06-13,1573419.2712328767
2013-06-14,1573517.3342465754
2013-06-15,1573615.397260274
2013-06-16,1573713.4602739727
2013-06-17,1573811.5232876712
2013-06-18,1573909.5863013698
2013-06-19,1574007.6493150685
2013-06-20,1574105.7123287672
2013-06-21,1574203.7753424658
2013-06-22,1574301.8383561643
2013-06-23,1574399.901369863
2013-06-24,1574497.9643835616
2013-06-25,1574596.0273972603
2013-06-26,1574694.090410959
2013-06-27,1574792.1534246576
2013-06-28,1574890.216438356
